tweet_id,tweet_created,airline,airline_sentiment,negative_reason,text
339,2025-02-13 19:22:11,United,negative,Flight Booking Problems,This is a negative tweet about United.
340,2025-01-21 07:27:44,Delta,neutral,,This is a neutral tweet about Delta.
341,2025-02-16 16:28:45,Southwest,negative,Bad Flight,This is a negative tweet about Southwest.
342,2025-03-28 21:25:46,Southwest,neutral,,This is a neutral tweet about Southwest.
343,2025-04-01 17:01:36,JetBlue,neutral,,This is a neutral tweet about JetBlue.
344,2025-03-31 00:42:47,Virgin America,negative,Damaged Luggage,This is a negative tweet about Virgin America.
345,2025-03-09 10:19:12,Delta,negative,longlines,This is a negative tweet about Delta.
346,2025-04-02 08:35:01,American,negative,Late Flight,This is a negative tweet about American.
347,2025-03-12 23:50:56,American,neutral,,This is a neutral tweet about American.
348,2025-03-17 14:11:17,Virgin America,positive,,This is a positive tweet about Virgin America.
349,2025-04-19 10:22:09,American,negative,Bad Flight,This is a negative tweet about American.
350,2025-01-28 16:49:04,Delta,positive,,This is a positive tweet about Delta.
351,2025-01-20 13:04:32,Southwest,negative,Cancelled Flight,This is a negative tweet about Southwest.
352,2025-03-12 06:53:43,Southwest,negative,Lost Luggage,This is a negative tweet about Southwest.
353,2025-04-01 10:02:56,US Airways,negative,Late Flight,This is a negative tweet about US Airways.
354,2025-01-30 12:16:13,Delta,negative,Customer Service Issue,This is a negative tweet about Delta.
355,2025-03-18 03:05:12,American,negative,Flight Attendant Complaints,This is a negative tweet about American.
356,2025-03-08 14:15:17,Southwest,negative,Damaged Luggage,This is a negative tweet about Southwest.
357,2025-03-23 21:04:18,JetBlue,neutral,,This is a neutral tweet about JetBlue.
358,2025-03-09 16:37:05,US Airways,negative,Damaged Luggage,This is a negative tweet about US Airways.
359,2025-02-14 11:13:39,US Airways,negative,Other Issue,This is a negative tweet about US Airways.
360,2025-02-21 10:44:23,US Airways,neutral,,This is a neutral tweet about US Airways.
361,2025-04-11 16:37:14,Southwest,negative,Other Issue,This is a negative tweet about Southwest.
362,2025-01-27 10:05:26,JetBlue,positive,,This is a positive tweet about JetBlue.
363,2025-01-26 12:50:22,United,negative,Cancelled Flight,This is a negative tweet about United.
364,2025-02-20 13:28:35,United,positive,,This is a positive tweet about United.
365,2025-02-08 08:47:36,Southwest,neutral,,This is a neutral tweet about Southwest.
366,2025-03-07 00:13:38,JetBlue,negative,Customer Service Issue,This is a negative tweet about JetBlue.
367,2025-03-18 06:08:01,United,positive,,This is a positive tweet about United.
368,2025-04-11 06:58:15,American,positive,,This is a positive tweet about American.
369,2025-04-16 00:00:52,American,negative,Cancelled Flight,This is a negative tweet about American.
370,2025-03-30 20:49:28,American,positive,,This is a positive tweet about American.
371,2025-03-21 06:17:22,American,negative,Flight Booking Problems,This is a negative tweet about American.
372,2025-03-03 22:51:17,Southwest,positive,,This is a positive tweet about Southwest.
373,2025-03-14 21:55:24,American,negative,Flight Attendant Complaints,This is a negative tweet about American.
374,2025-02-21 04:00:40,US Airways,neutral,,This is a neutral tweet about US Airways.
375,2025-02-10 20:01:30,US Airways,negative,Damaged Luggage,This is a negative tweet about US Airways.
376,2025-01-27 15:21:27,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
377,2025-02-28 12:53:15,United,negative,Damaged Luggage,This is a negative tweet about United.
378,2025-02-02 05:09:51,Virgin America,positive,,This is a positive tweet about Virgin America.
379,2025-02-10 12:09:14,American,negative,Late Flight,This is a negative tweet about American.
380,2025-04-15 09:15:13,JetBlue,neutral,,This is a neutral tweet about JetBlue.
381,2025-02-10 18:18:50,Virgin America,neutral,,This is a neutral tweet about Virgin America.
382,2025-04-19 11:55:42,JetBlue,negative,Customer Service Issue,This is a negative tweet about JetBlue.
383,2025-02-14 03:19:35,American,neutral,,This is a neutral tweet about American.
384,2025-04-05 13:14:49,Virgin America,negative,Flight Attendant Complaints,This is a negative tweet about Virgin America.
385,2025-04-02 07:54:39,JetBlue,positive,,This is a positive tweet about JetBlue.
386,2025-04-01 14:06:45,United,negative,Bad Flight,This is a negative tweet about United.
387,2025-02-14 20:43:09,United,negative,Late Flight,This is a negative tweet about United.
388,2025-03-23 00:30:16,US Airways,negative,longlines,This is a negative tweet about US Airways.
389,2025-01-28 18:25:22,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
390,2025-03-29 19:51:31,JetBlue,positive,,This is a positive tweet about JetBlue.
391,2025-03-28 15:35:23,United,negative,Flight Booking Problems,This is a negative tweet about United.
392,2025-04-01 15:19:17,Virgin America,neutral,,This is a neutral tweet about Virgin America.
393,2025-03-26 13:54:14,American,negative,Damaged Luggage,This is a negative tweet about American.
394,2025-02-21 17:26:33,Delta,positive,,This is a positive tweet about Delta.
395,2025-02-19 01:35:01,US Airways,positive,,This is a positive tweet about US Airways.
396,2025-03-20 18:47:11,Delta,positive,,This is a positive tweet about Delta.
397,2025-03-11 21:53:59,United,neutral,,This is a neutral tweet about United.
398,2025-03-24 20:14:40,Delta,negative,Flight Booking Problems,This is a negative tweet about Delta.
399,2025-04-15 16:03:24,US Airways,negative,longlines,This is a negative tweet about US Airways.
400,2025-02-10 19:49:38,Delta,negative,Bad Flight,This is a negative tweet about Delta.
401,2025-03-01 15:56:25,JetBlue,neutral,,This is a neutral tweet about JetBlue.
402,2025-02-05 05:58:05,Delta,negative,Bad Flight,This is a negative tweet about Delta.
403,2025-01-28 16:32:52,United,negative,Cancelled Flight,This is a negative tweet about United.
404,2025-02-16 12:10:46,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
405,2025-01-24 12:36:22,American,negative,Other Issue,This is a negative tweet about American.
406,2025-03-07 00:47:44,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
407,2025-01-27 08:45:10,Virgin America,neutral,,This is a neutral tweet about Virgin America.
408,2025-03-11 17:34:21,Virgin America,positive,,This is a positive tweet about Virgin America.
409,2025-02-25 03:26:45,United,neutral,,This is a neutral tweet about United.
410,2025-03-14 17:00:06,Southwest,neutral,,This is a neutral tweet about Southwest.
411,2025-01-26 19:58:12,American,positive,,This is a positive tweet about American.
412,2025-02-10 14:41:53,JetBlue,negative,Other Issue,This is a negative tweet about JetBlue.
413,2025-01-21 20:56:24,American,negative,Damaged Luggage,This is a negative tweet about American.
414,2025-03-28 05:17:06,Virgin America,neutral,,This is a neutral tweet about Virgin America.
415,2025-04-17 04:54:36,Southwest,neutral,,This is a neutral tweet about Southwest.
416,2025-02-19 10:31:06,Southwest,negative,Cancelled Flight,This is a negative tweet about Southwest.
417,2025-01-31 20:51:13,Virgin America,negative,Late Flight,This is a negative tweet about Virgin America.
418,2025-01-23 09:41:53,Delta,negative,Cancelled Flight,This is a negative tweet about Delta.
419,2025-02-23 09:38:17,American,negative,Lost Luggage,This is a negative tweet about American.
420,2025-03-20 18:44:26,Southwest,negative,Lost Luggage,This is a negative tweet about Southwest.
421,2025-03-25 14:19:20,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
422,2025-02-05 08:46:13,JetBlue,negative,Late Flight,This is a negative tweet about JetBlue.
423,2025-02-21 01:17:00,US Airways,negative,Customer Service Issue,This is a negative tweet about US Airways.
424,2025-04-08 06:14:24,Virgin America,positive,,This is a positive tweet about Virgin America.
425,2025-03-29 08:18:04,American,negative,Bad Flight,This is a negative tweet about American.
426,2025-03-02 02:02:16,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
427,2025-04-03 05:31:02,Delta,negative,Flight Attendant Complaints,This is a negative tweet about Delta.
428,2025-02-12 17:35:16,Southwest,positive,,This is a positive tweet about Southwest.
429,2025-01-27 02:07:25,American,neutral,,This is a neutral tweet about American.
430,2025-04-07 20:32:32,Delta,negative,Customer Service Issue,This is a negative tweet about Delta.
431,2025-03-24 04:43:13,American,neutral,,This is a neutral tweet about American.
432,2025-04-14 05:45:35,Virgin America,neutral,,This is a neutral tweet about Virgin America.
433,2025-03-09 01:36:54,US Airways,positive,,This is a positive tweet about US Airways.
434,2025-03-03 18:45:22,United,positive,,This is a positive tweet about United.
435,2025-02-17 15:36:25,JetBlue,negative,Flight Attendant Complaints,This is a negative tweet about JetBlue.
436,2025-03-11 20:45:11,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
437,2025-02-04 04:13:47,JetBlue,negative,Flight Booking Problems,This is a negative tweet about JetBlue.
438,2025-04-14 11:20:00,Southwest,negative,Flight Booking Problems,This is a negative tweet about Southwest.
439,2025-03-28 12:24:13,US Airways,neutral,,This is a neutral tweet about US Airways.
440,2025-03-31 06:17:18,US Airways,neutral,,This is a neutral tweet about US Airways.
441,2025-02-18 04:07:03,Southwest,negative,Lost Luggage,This is a negative tweet about Southwest.
442,2025-02-23 06:12:49,American,positive,,This is a positive tweet about American.
443,2025-04-16 05:17:05,US Airways,negative,Flight Booking Problems,This is a negative tweet about US Airways.
444,2025-02-10 06:55:39,American,positive,,This is a positive tweet about American.
445,2025-01-25 19:03:29,JetBlue,negative,Damaged Luggage,This is a negative tweet about JetBlue.
446,2025-03-10 20:04:26,United,negative,Flight Attendant Complaints,This is a negative tweet about United.
447,2025-02-06 18:28:12,US Airways,neutral,,This is a neutral tweet about US Airways.
448,2025-03-06 07:25:38,Delta,negative,Flight Attendant Complaints,This is a negative tweet about Delta.
449,2025-02-24 02:32:55,JetBlue,neutral,,This is a neutral tweet about JetBlue.
450,2025-03-30 05:02:35,Southwest,positive,,This is a positive tweet about Southwest.
451,2025-01-28 18:11:00,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
452,2025-03-03 21:06:54,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
453,2025-01-19 00:04:45,US Airways,negative,Other Issue,This is a negative tweet about US Airways.
454,2025-04-09 07:48:07,JetBlue,negative,Bad Flight,This is a negative tweet about JetBlue.
455,2025-04-18 16:22:04,JetBlue,neutral,,This is a neutral tweet about JetBlue.
456,2025-02-23 02:01:59,Southwest,positive,,This is a positive tweet about Southwest.
457,2025-03-08 21:07:02,Virgin America,negative,Flight Booking Problems,This is a negative tweet about Virgin America.
458,2025-02-17 13:57:14,Southwest,neutral,,This is a neutral tweet about Southwest.
459,2025-03-10 04:13:25,JetBlue,positive,,This is a positive tweet about JetBlue.
460,2025-01-20 03:22:01,Virgin America,positive,,This is a positive tweet about Virgin America.
461,2025-04-15 09:04:02,JetBlue,positive,,This is a positive tweet about JetBlue.
462,2025-04-04 15:40:06,Southwest,neutral,,This is a neutral tweet about Southwest.
463,2025-02-26 07:58:32,Virgin America,negative,Lost Luggage,This is a negative tweet about Virgin America.
464,2025-04-12 07:18:34,American,neutral,,This is a neutral tweet about American.
465,2025-02-06 18:59:43,United,positive,,This is a positive tweet about United.
466,2025-01-23 06:34:55,United,neutral,,This is a neutral tweet about United.
467,2025-02-22 12:10:13,United,neutral,,This is a neutral tweet about United.
468,2025-02-18 16:15:52,American,positive,,This is a positive tweet about American.
469,2025-04-14 05:16:30,JetBlue,neutral,,This is a neutral tweet about JetBlue.
470,2025-04-19 07:06:55,Virgin America,positive,,This is a positive tweet about Virgin America.
471,2025-03-02 22:33:14,JetBlue,negative,Bad Flight,This is a negative tweet about JetBlue.
472,2025-04-12 09:24:52,American,neutral,,This is a neutral tweet about American.
473,2025-04-02 07:54:30,US Airways,negative,Customer Service Issue,This is a negative tweet about US Airways.
474,2025-01-20 09:04:08,American,neutral,,This is a neutral tweet about American.
475,2025-04-16 11:43:17,United,positive,,This is a positive tweet about United.
476,2025-04-07 23:51:59,American,negative,Lost Luggage,This is a negative tweet about American.
477,2025-04-03 05:43:44,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
478,2025-03-06 17:39:17,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
479,2025-03-13 17:54:14,Southwest,positive,,This is a positive tweet about Southwest.
480,2025-02-09 12:57:26,United,negative,Flight Booking Problems,This is a negative tweet about United.
481,2025-01-20 18:41:35,US Airways,positive,,This is a positive tweet about US Airways.
482,2025-02-17 15:13:48,US Airways,positive,,This is a positive tweet about US Airways.
483,2025-02-22 03:22:49,United,positive,,This is a positive tweet about United.
484,2025-02-26 19:21:09,JetBlue,positive,,This is a positive tweet about JetBlue.
485,2025-03-22 01:58:03,JetBlue,positive,,This is a positive tweet about JetBlue.
486,2025-04-07 13:58:08,Delta,negative,Cancelled Flight,This is a negative tweet about Delta.
487,2025-03-21 01:51:07,US Airways,positive,,This is a positive tweet about US Airways.
488,2025-03-22 08:16:46,Delta,positive,,This is a positive tweet about Delta.
489,2025-03-22 17:05:17,US Airways,positive,,This is a positive tweet about US Airways.
490,2025-04-06 02:15:01,Virgin America,negative,Bad Flight,This is a negative tweet about Virgin America.
491,2025-02-12 15:38:55,Delta,neutral,,This is a neutral tweet about Delta.
492,2025-04-14 16:15:05,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
493,2025-02-14 10:16:36,United,negative,Late Flight,This is a negative tweet about United.
494,2025-02-09 10:48:42,Delta,positive,,This is a positive tweet about Delta.
495,2025-02-21 08:01:46,Delta,neutral,,This is a neutral tweet about Delta.
496,2025-02-26 23:18:35,JetBlue,negative,Other Issue,This is a negative tweet about JetBlue.
497,2025-01-25 15:45:16,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
498,2025-04-12 02:40:01,Southwest,positive,,This is a positive tweet about Southwest.
499,2025-03-21 07:57:47,US Airways,neutral,,This is a neutral tweet about US Airways.
500,2025-02-24 22:45:59,Southwest,negative,Bad Flight,This is a negative tweet about Southwest.
501,2025-03-24 08:17:33,United,positive,,This is a positive tweet about United.
502,2025-04-19 05:18:17,Southwest,positive,,This is a positive tweet about Southwest.
503,2025-03-18 04:17:54,American,neutral,,This is a neutral tweet about American.
504,2025-03-30 01:10:23,American,negative,Late Flight,This is a negative tweet about American.
505,2025-03-29 02:59:21,United,neutral,,This is a neutral tweet about United.
506,2025-04-03 23:29:04,American,neutral,,This is a neutral tweet about American.
507,2025-02-23 00:00:55,Southwest,neutral,,This is a neutral tweet about Southwest.
508,2025-02-20 05:59:43,US Airways,negative,longlines,This is a negative tweet about US Airways.
509,2025-02-01 03:39:32,Delta,positive,,This is a positive tweet about Delta.
510,2025-03-16 22:52:06,American,positive,,This is a positive tweet about American.
511,2025-04-13 11:18:21,Southwest,positive,,This is a positive tweet about Southwest.
512,2025-04-17 03:14:02,JetBlue,negative,Cancelled Flight,This is a negative tweet about JetBlue.
513,2025-02-16 22:14:24,Virgin America,negative,Late Flight,This is a negative tweet about Virgin America.
514,2025-02-09 07:20:17,Virgin America,positive,,This is a positive tweet about Virgin America.
515,2025-01-25 07:34:25,Southwest,positive,,This is a positive tweet about Southwest.
516,2025-04-11 12:05:17,US Airways,negative,Customer Service Issue,This is a negative tweet about US Airways.
517,2025-02-12 10:45:40,Virgin America,negative,Lost Luggage,This is a negative tweet about Virgin America.
518,2025-01-25 14:47:21,Delta,negative,Damaged Luggage,This is a negative tweet about Delta.
519,2025-04-05 21:13:50,Southwest,positive,,This is a positive tweet about Southwest.
520,2025-02-10 07:20:43,Delta,negative,Other Issue,This is a negative tweet about Delta.
521,2025-03-19 04:53:53,Virgin America,negative,Cancelled Flight,This is a negative tweet about Virgin America.
522,2025-01-23 04:11:06,Virgin America,positive,,This is a positive tweet about Virgin America.
523,2025-01-29 00:49:05,US Airways,neutral,,This is a neutral tweet about US Airways.
524,2025-02-26 23:29:56,American,negative,Customer Service Issue,This is a negative tweet about American.
525,2025-01-30 13:19:44,JetBlue,neutral,,This is a neutral tweet about JetBlue.
526,2025-04-09 15:27:22,Virgin America,negative,Damaged Luggage,This is a negative tweet about Virgin America.
527,2025-02-21 00:12:08,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
528,2025-03-24 19:01:27,Delta,negative,longlines,This is a negative tweet about Delta.
529,2025-01-22 11:23:52,American,negative,Damaged Luggage,This is a negative tweet about American.
530,2025-03-24 15:14:28,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
531,2025-03-28 07:34:26,US Airways,negative,Bad Flight,This is a negative tweet about US Airways.
532,2025-02-27 13:23:45,United,negative,Late Flight,This is a negative tweet about United.
533,2025-03-30 09:41:10,Southwest,neutral,,This is a neutral tweet about Southwest.
534,2025-01-21 03:00:14,JetBlue,positive,,This is a positive tweet about JetBlue.
535,2025-03-23 07:10:25,Delta,neutral,,This is a neutral tweet about Delta.
536,2025-02-28 15:16:03,United,neutral,,This is a neutral tweet about United.
537,2025-03-09 02:52:21,Southwest,positive,,This is a positive tweet about Southwest.
538,2025-01-31 03:52:16,Southwest,neutral,,This is a neutral tweet about Southwest.
539,2025-03-07 17:41:11,Southwest,negative,Cancelled Flight,This is a negative tweet about Southwest.
540,2025-03-21 11:13:53,American,negative,Cancelled Flight,This is a negative tweet about American.
541,2025-03-31 06:38:21,Southwest,neutral,,This is a neutral tweet about Southwest.
542,2025-03-29 22:39:42,American,neutral,,This is a neutral tweet about American.
543,2025-04-16 10:33:54,US Airways,negative,Late Flight,This is a negative tweet about US Airways.
544,2025-02-20 19:09:43,US Airways,neutral,,This is a neutral tweet about US Airways.
545,2025-03-17 01:45:04,Southwest,neutral,,This is a neutral tweet about Southwest.
546,2025-02-17 06:42:43,American,negative,Late Flight,This is a negative tweet about American.
547,2025-04-16 16:08:43,Southwest,positive,,This is a positive tweet about Southwest.
548,2025-03-08 08:55:34,US Airways,negative,longlines,This is a negative tweet about US Airways.
549,2025-04-15 07:38:07,US Airways,positive,,This is a positive tweet about US Airways.
550,2025-02-13 12:28:25,US Airways,positive,,This is a positive tweet about US Airways.
551,2025-03-25 03:10:08,Southwest,negative,Late Flight,This is a negative tweet about Southwest.
552,2025-02-05 14:20:21,United,positive,,This is a positive tweet about United.
553,2025-04-19 05:52:23,US Airways,positive,,This is a positive tweet about US Airways.
554,2025-02-04 18:59:46,United,positive,,This is a positive tweet about United.
555,2025-02-03 15:33:37,United,positive,,This is a positive tweet about United.
556,2025-01-20 16:30:19,JetBlue,positive,,This is a positive tweet about JetBlue.
557,2025-02-09 04:55:07,US Airways,negative,Other Issue,This is a negative tweet about US Airways.
558,2025-04-17 22:09:25,United,neutral,,This is a neutral tweet about United.
559,2025-02-12 11:29:02,Southwest,positive,,This is a positive tweet about Southwest.
560,2025-03-25 12:47:18,Virgin America,negative,Flight Booking Problems,This is a negative tweet about Virgin America.
561,2025-03-17 18:13:06,Southwest,negative,Late Flight,This is a negative tweet about Southwest.
562,2025-03-31 01:59:11,Virgin America,positive,,This is a positive tweet about Virgin America.
563,2025-02-24 21:41:03,Delta,negative,longlines,This is a negative tweet about Delta.
564,2025-04-01 12:23:35,American,negative,longlines,This is a negative tweet about American.
565,2025-01-26 14:02:31,Delta,negative,longlines,This is a negative tweet about Delta.
566,2025-02-24 22:00:51,Southwest,positive,,This is a positive tweet about Southwest.
567,2025-03-12 01:53:51,JetBlue,positive,,This is a positive tweet about JetBlue.
568,2025-03-12 10:07:43,Southwest,negative,Damaged Luggage,This is a negative tweet about Southwest.
569,2025-03-01 08:48:22,US Airways,negative,Lost Luggage,This is a negative tweet about US Airways.
570,2025-03-03 19:31:04,American,negative,Customer Service Issue,This is a negative tweet about American.
571,2025-03-26 21:53:02,JetBlue,neutral,,This is a neutral tweet about JetBlue.
572,2025-03-13 19:12:04,United,negative,Other Issue,This is a negative tweet about United.
573,2025-01-22 22:01:21,American,neutral,,This is a neutral tweet about American.
574,2025-02-21 12:43:19,US Airways,negative,Flight Attendant Complaints,This is a negative tweet about US Airways.
575,2025-01-22 22:26:45,Delta,negative,longlines,This is a negative tweet about Delta.
576,2025-02-24 12:57:41,Southwest,negative,Bad Flight,This is a negative tweet about Southwest.
577,2025-03-23 10:07:31,Delta,positive,,This is a positive tweet about Delta.
578,2025-04-07 05:43:18,American,negative,longlines,This is a negative tweet about American.
579,2025-02-23 10:41:20,US Airways,positive,,This is a positive tweet about US Airways.
580,2025-04-13 06:23:25,JetBlue,negative,Late Flight,This is a negative tweet about JetBlue.
581,2025-02-13 08:40:11,Virgin America,positive,,This is a positive tweet about Virgin America.
582,2025-02-20 13:27:49,United,positive,,This is a positive tweet about United.
583,2025-01-18 22:23:04,Southwest,positive,,This is a positive tweet about Southwest.
584,2025-03-11 12:31:30,American,negative,longlines,This is a negative tweet about American.
585,2025-03-07 10:34:26,United,positive,,This is a positive tweet about United.
586,2025-02-01 09:09:32,American,neutral,,This is a neutral tweet about American.
587,2025-04-03 02:30:59,US Airways,negative,Other Issue,This is a negative tweet about US Airways.
588,2025-03-26 02:31:31,Delta,neutral,,This is a neutral tweet about Delta.
589,2025-02-28 01:28:19,American,positive,,This is a positive tweet about American.
590,2025-01-24 23:39:37,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
591,2025-04-06 04:44:48,American,negative,Other Issue,This is a negative tweet about American.
592,2025-01-31 18:38:01,Virgin America,negative,longlines,This is a negative tweet about Virgin America.
593,2025-04-06 22:17:56,JetBlue,positive,,This is a positive tweet about JetBlue.
594,2025-03-14 14:53:49,American,negative,Customer Service Issue,This is a negative tweet about American.
595,2025-02-11 20:43:21,Delta,negative,Lost Luggage,This is a negative tweet about Delta.
596,2025-03-15 11:47:43,Southwest,neutral,,This is a neutral tweet about Southwest.
597,2025-03-27 15:09:33,Southwest,neutral,,This is a neutral tweet about Southwest.
598,2025-01-19 04:57:37,United,neutral,,This is a neutral tweet about United.
599,2025-02-12 18:19:40,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
600,2025-02-24 22:12:06,Southwest,neutral,,This is a neutral tweet about Southwest.
601,2025-02-27 11:11:45,Virgin America,positive,,This is a positive tweet about Virgin America.
602,2025-02-14 22:33:39,American,positive,,This is a positive tweet about American.
603,2025-02-20 01:08:07,Southwest,negative,Customer Service Issue,This is a negative tweet about Southwest.
604,2025-02-07 16:12:31,JetBlue,positive,,This is a positive tweet about JetBlue.
605,2025-04-14 20:00:21,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
606,2025-02-24 05:52:50,Delta,neutral,,This is a neutral tweet about Delta.
607,2025-01-19 01:27:36,Southwest,neutral,,This is a neutral tweet about Southwest.
608,2025-02-21 07:36:50,Delta,positive,,This is a positive tweet about Delta.
609,2025-02-23 09:37:02,Southwest,negative,Customer Service Issue,This is a negative tweet about Southwest.
610,2025-04-10 23:06:51,JetBlue,positive,,This is a positive tweet about JetBlue.
611,2025-04-09 05:37:14,US Airways,negative,Other Issue,This is a negative tweet about US Airways.
612,2025-04-07 14:08:53,US Airways,positive,,This is a positive tweet about US Airways.
613,2025-03-13 12:31:59,JetBlue,negative,Damaged Luggage,This is a negative tweet about JetBlue.
614,2025-04-07 15:44:24,JetBlue,neutral,,This is a neutral tweet about JetBlue.
615,2025-03-22 00:58:22,United,negative,longlines,This is a negative tweet about United.
616,2025-02-26 06:04:43,United,negative,Other Issue,This is a negative tweet about United.
617,2025-01-20 21:12:40,US Airways,negative,Cancelled Flight,This is a negative tweet about US Airways.
618,2025-03-15 05:27:21,Southwest,negative,Customer Service Issue,This is a negative tweet about Southwest.
619,2025-03-21 01:19:47,American,positive,,This is a positive tweet about American.
620,2025-01-22 12:25:06,JetBlue,neutral,,This is a neutral tweet about JetBlue.
621,2025-03-14 08:04:43,United,negative,Other Issue,This is a negative tweet about United.
622,2025-04-18 04:28:29,Southwest,positive,,This is a positive tweet about Southwest.
623,2025-03-27 13:12:42,Virgin America,positive,,This is a positive tweet about Virgin America.
624,2025-01-24 04:38:17,Southwest,negative,Cancelled Flight,This is a negative tweet about Southwest.
625,2025-03-16 12:44:06,American,positive,,This is a positive tweet about American.
626,2025-03-31 21:57:53,Delta,positive,,This is a positive tweet about Delta.
627,2025-01-31 18:55:10,American,positive,,This is a positive tweet about American.
628,2025-03-12 00:05:27,Delta,negative,Other Issue,This is a negative tweet about Delta.
629,2025-01-25 16:04:08,American,negative,Customer Service Issue,This is a negative tweet about American.
630,2025-03-27 10:11:26,JetBlue,positive,,This is a positive tweet about JetBlue.
631,2025-04-06 17:39:28,JetBlue,positive,,This is a positive tweet about JetBlue.
632,2025-01-21 08:48:04,US Airways,positive,,This is a positive tweet about US Airways.
633,2025-03-29 18:54:04,American,negative,longlines,This is a negative tweet about American.
634,2025-02-20 00:20:46,American,negative,Bad Flight,This is a negative tweet about American.
635,2025-02-26 18:50:31,JetBlue,negative,Cancelled Flight,This is a negative tweet about JetBlue.
636,2025-02-05 16:30:38,Delta,negative,Customer Service Issue,This is a negative tweet about Delta.
637,2025-02-12 16:38:00,US Airways,neutral,,This is a neutral tweet about US Airways.
638,2025-03-22 15:54:06,Delta,negative,Late Flight,This is a negative tweet about Delta.
639,2025-01-31 06:11:49,Southwest,negative,Customer Service Issue,This is a negative tweet about Southwest.
640,2025-02-21 21:49:47,Delta,positive,,This is a positive tweet about Delta.
641,2025-02-01 02:53:17,JetBlue,positive,,This is a positive tweet about JetBlue.
642,2025-02-12 04:40:56,United,neutral,,This is a neutral tweet about United.
643,2025-04-05 05:11:57,United,negative,Lost Luggage,This is a negative tweet about United.
644,2025-01-24 13:05:26,US Airways,negative,Late Flight,This is a negative tweet about US Airways.
645,2025-04-19 13:23:48,JetBlue,negative,Late Flight,This is a negative tweet about JetBlue.
646,2025-02-20 14:24:44,JetBlue,positive,,This is a positive tweet about JetBlue.
647,2025-03-18 08:39:45,Delta,negative,Cancelled Flight,This is a negative tweet about Delta.
648,2025-03-27 04:38:35,Virgin America,positive,,This is a positive tweet about Virgin America.
649,2025-02-13 15:37:40,JetBlue,negative,Damaged Luggage,This is a negative tweet about JetBlue.
650,2025-04-11 14:40:45,Delta,positive,,This is a positive tweet about Delta.
651,2025-04-11 15:24:35,American,negative,Flight Booking Problems,This is a negative tweet about American.
652,2025-03-12 19:10:05,US Airways,neutral,,This is a neutral tweet about US Airways.
653,2025-03-26 00:49:18,Southwest,negative,Flight Attendant Complaints,This is a negative tweet about Southwest.
654,2025-02-13 11:32:40,United,negative,Damaged Luggage,This is a negative tweet about United.
655,2025-03-03 22:30:40,American,negative,Customer Service Issue,This is a negative tweet about American.
656,2025-03-17 15:56:32,Delta,negative,Late Flight,This is a negative tweet about Delta.
657,2025-02-22 17:53:45,Delta,positive,,This is a positive tweet about Delta.
658,2025-02-21 05:13:59,American,neutral,,This is a neutral tweet about American.
659,2025-03-15 13:55:40,Southwest,negative,Lost Luggage,This is a negative tweet about Southwest.
660,2025-03-07 16:34:59,Southwest,negative,Customer Service Issue,This is a negative tweet about Southwest.
661,2025-04-17 15:43:49,JetBlue,negative,Bad Flight,This is a negative tweet about JetBlue.
662,2025-04-09 13:54:39,Virgin America,neutral,,This is a neutral tweet about Virgin America.
663,2025-03-19 09:02:41,JetBlue,negative,Flight Booking Problems,This is a negative tweet about JetBlue.
664,2025-03-03 14:49:29,Virgin America,negative,Flight Booking Problems,This is a negative tweet about Virgin America.
665,2025-03-23 10:18:24,American,positive,,This is a positive tweet about American.
666,2025-01-30 21:33:52,American,positive,,This is a positive tweet about American.
667,2025-02-22 11:18:42,Delta,negative,Late Flight,This is a negative tweet about Delta.
668,2025-01-20 18:02:36,Delta,positive,,This is a positive tweet about Delta.
669,2025-02-14 04:59:56,JetBlue,negative,longlines,This is a negative tweet about JetBlue.
670,2025-02-10 09:36:39,United,negative,Lost Luggage,This is a negative tweet about United.
671,2025-02-28 13:34:34,JetBlue,negative,Customer Service Issue,This is a negative tweet about JetBlue.
672,2025-04-07 15:47:00,Delta,neutral,,This is a neutral tweet about Delta.
673,2025-01-25 16:01:55,American,positive,,This is a positive tweet about American.
674,2025-04-06 13:35:02,Virgin America,negative,longlines,This is a negative tweet about Virgin America.
675,2025-01-28 09:23:56,Delta,positive,,This is a positive tweet about Delta.
676,2025-01-26 23:06:32,United,negative,longlines,This is a negative tweet about United.
